purchase_id,product_id,quantity,amount,customer_id,purchase_date
74f9c2a2-d7aa-4ce0-8c54-1bd0c895f2c2,ea309f2c-da4e-4218-b50c-ef511dcb8b19,4,1638.32,4d1ce2bf-b2ca-4a58-9d48-07d111d88655,2024-06-18
74f9c2a2-d7aa-4ce0-8c54-1bd0c895f2c2,88731948-c7f7-4074-8d08-0595547ec49a,1,928.69,4d1ce2bf-b2ca-4a58-9d48-07d111d88655,2024-06-18
74f9c2a2-d7aa-4ce0-8c54-1bd0c895f2c2,c08d0d40-6ee3-4d2f-ae2b-7e2c36a56676,1,226.66,4d1ce2bf-b2ca-4a58-9d48-07d111d88655,2024-06-18
74f9c2a2-d7aa-4ce0-8c54-1bd0c895f2c2,88731948-c7f7-4074-8d08-0595547ec49a,3,2786.07,4d1ce2bf-b2ca-4a58-9d48-07d111d88655,2024-06-18
74f9c2a2-d7aa-4ce0-8c54-1bd0c895f2c2,9915b47b-2109-464b-b87b-79b8ea0c3e99,1,300.88,4d1ce2bf-b2ca-4a58-9d48-07d111d88655,2024-06-18
7039d334-e065-4726-a0f6-c04edabafbe4,c1ca9529-5d2c-4c6e-a8fa-3421b080dfaf,1,594.15,aa2f9a58-71ec-4aba-a299-ec39e942d38c,2024-06-24
7039d334-e065-4726-a0f6-c04edabafbe4,a94cd62f-b802-4a1a-ab21-5153f3763736,1,268.08,aa2f9a58-71ec-4aba-a299-ec39e942d38c,2024-06-24
e6b8a7ba-65e0-4ef3-88e4-39cc8b0de89b,be64dac8-d407-474f-a10f-a208b7b64f8f,3,1171.59,3144317a-a048-43cf-aeb8-9ac05d0b1be7,2024-04-22
e6b8a7ba-65e0-4ef3-88e4-39cc8b0de89b,f7fa58ef-5dce-4a90-bf45-1e617d942d0e,2,300.58,3144317a-a048-43cf-aeb8-9ac05d0b1be7,2024-04-22
e6b8a7ba-65e0-4ef3-88e4-39cc8b0de89b,616b94cd-dbdc-46d8-b93b-a523e14e739b,2,1871.82,3144317a-a048-43cf-aeb8-9ac05d0b1be7,2024-04-22
e6b8a7ba-65e0-4ef3-88e4-39cc8b0de89b,1fe57140-1480-4aae-82ae-ad1bb07d1c17,5,4152.15,3144317a-a048-43cf-aeb8-9ac05d0b1be7,2024-04-22
12a8e9ba-cf5b-43ad-b3d8-16c454d4a4dd,9d792e15-e4c2-4653-97af-2f92d1a869c6,5,585.85,5742b678-a0a4-46f0-8d4d-663e68aefb7e,2024-05-29
12a8e9ba-cf5b-43ad-b3d8-16c454d4a4dd,c08d0d40-6ee3-4d2f-ae2b-7e2c36a56676,2,453.32,5742b678-a0a4-46f0-8d4d-663e68aefb7e,2024-05-29
12a8e9ba-cf5b-43ad-b3d8-16c454d4a4dd,23134f24-a180-4982-897e-2470635bed22,5,869.9,5742b678-a0a4-46f0-8d4d-663e68aefb7e,2024-05-29
12a8e9ba-cf5b-43ad-b3d8-16c454d4a4dd,36f15e32-6cce-4951-b0a4-dbd1c299e3cc,3,1987.8,5742b678-a0a4-46f0-8d4d-663e68aefb7e,2024-05-29
12a8e9ba-cf5b-43ad-b3d8-16c454d4a4dd,e489d235-8bf3-4114-a1ed-0690169e0d6a,3,1210.5,5742b678-a0a4-46f0-8d4d-663e68aefb7e,2024-05-29
f00e7c36-a0d9-4bb1-8a26-ab6a665a4849,4458ec66-d7e7-44bc-96a7-6447e814eca3,5,4663.05,b4d6f836-7eec-4a45-9933-cd9f13da81b3,2024-03-08
c0fecd2a-64bc-4b5a-8fae-b69079bfe6f7,d84212f5-217a-45bf-b577-27dee56c3714,1,253.0,d2d28d8c-1513-4412-9d9c-3fc128041822,2024-03-02
c0fecd2a-64bc-4b5a-8fae-b69079bfe6f7,ab6275c1-5b66-416e-9b60-4529322c22d7,2,1317.68,d2d28d8c-1513-4412-9d9c-3fc128041822,2024-03-02
c0fecd2a-64bc-4b5a-8fae-b69079bfe6f7,d84212f5-217a-45bf-b577-27dee56c3714,1,253.0,d2d28d8c-1513-4412-9d9c-3fc128041822,2024-03-02
c0fecd2a-64bc-4b5a-8fae-b69079bfe6f7,ab6275c1-5b66-416e-9b60-4529322c22d7,3,1976.52,d2d28d8c-1513-4412-9d9c-3fc128041822,2024-03-02
c0fecd2a-64bc-4b5a-8fae-b69079bfe6f7,6c3aafce-af87-47a1-a270-e8ce711c65a3,3,2416.11,d2d28d8c-1513-4412-9d9c-3fc128041822,2024-03-02
392d06e8-9f2a-4d28-b732-565c318d4752,c3715c51-117f-4fe3-9a79-d469474d9d37,5,103.85,e4253a1d-ee7f-4b63-bcd7-cace6c910844,2024-06-08
392d06e8-9f2a-4d28-b732-565c318d4752,3965d75c-0153-4a41-984f-73a0a4773be7,1,560.26,e4253a1d-ee7f-4b63-bcd7-cace6c910844,2024-06-08
1b3eefc3-f71a-4167-84ed-dcd00b622b47,c571e936-b9de-4722-b645-b2555cc50a26,2,1979.58,e87c87ce-bce6-41b3-b68d-366a62fadeee,2024-06-09
1b3eefc3-f71a-4167-84ed-dcd00b622b47,fe1fd2a3-244d-495b-99e8-f1e881e1f870,5,2131.55,e87c87ce-bce6-41b3-b68d-366a62fadeee,2024-06-09
1b3eefc3-f71a-4167-84ed-dcd00b622b47,5f19ea96-9a93-444e-a734-8a1d1489ef4e,4,2717.6,e87c87ce-bce6-41b3-b68d-366a62fadeee,2024-06-09
a192a622-e7ae-400c-943c-d6117de57d10,a6e3bde4-cf30-4c4c-a7a8-2a1ececf3711,5,731.35,dbb6f5c2-045c-4390-9693-c51450177c5e,2024-03-11
a192a622-e7ae-400c-943c-d6117de57d10,5a175ccc-00f3-4cb9-a21f-022b427ab6e0,2,537.4,dbb6f5c2-045c-4390-9693-c51450177c5e,2024-03-11
a192a622-e7ae-400c-943c-d6117de57d10,c571e936-b9de-4722-b645-b2555cc50a26,5,4948.95,dbb6f5c2-045c-4390-9693-c51450177c5e,2024-03-11
a192a622-e7ae-400c-943c-d6117de57d10,7bd7ec1d-c248-449d-be5d-04ad16f97db6,3,1363.77,dbb6f5c2-045c-4390-9693-c51450177c5e,2024-03-11
a192a622-e7ae-400c-943c-d6117de57d10,be43d226-bc20-48a5-a914-2c8badfd429f,1,850.88,dbb6f5c2-045c-4390-9693-c51450177c5e,2024-03-11
398c7681-a144-46d7-9731-16da47de0c4a,9fb08507-c968-4310-8718-d6415ca55c12,3,683.52,9cd173e4-6dd2-48e7-8fc8-feb8fc722733,2024-04-15
